# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_3.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-533.642,0.999888,0.0100121,7,223,0,538.817,-1.93197,-1.9035,-0.0106073,-1.21685,15.0484,5.31362,-1.69422,0.00340147,0.012063,0.547083,0.0783147,51,41,84.0904
-533.441,0.900652,0.0119733,9,511,0,535.761,-1.96136,-1.34665,-1.08464,-1.62532,13.799,5.23114,-1.37714,0.00193221,0.0816688,0.251723,0.0374679,51,41,171.287
-533.468,0.995013,0.019312,8,255,0,534.619,-1.93642,-1.47385,1.86064,-1.76386,14.9236,4.70331,-1.01358,0.00317889,0.0657693,1.06168,0.0236144,51,41,271.266
-534.583,0.612407,0.0142413,9,511,0,538.202,-1.69203,-1.98703,0.545791,-1.69303,21.0027,6.09067,-1.14121,0.0153984,0.00162154,0.700092,0.0306972,51,41,236.167
-532.905,0.99113,0.0184549,10,1023,0,534.89,-1.88599,-1.78035,-0.0366852,-1.86776,12.2666,8.58467,-0.264136,0.0057005,0.0274567,0.539912,0.0132236,51,41,477.363
-532.772,0.884688,0.0186241,10,1023,0,536.066,-1.8898,-1.74975,1.19765,-1.84735,-29.1317,22.4066,-0.495904,0.00550988,0.031281,0.879353,0.0152649,51,41,413.626
-534.093,0.954401,0.0135712,10,1023,0,536.02,-1.96096,-1.79187,0.269156,-1.33628,-22.9943,18.825,-1.64546,0.00195202,0.0260169,0.624018,0.0663723,51,41,97.4979
-533.166,0.536085,0.0196744,6,75,0,536.329,-1.94773,-1.78341,1.01475,-1.45281,-22.5989,19.4203,-1.57602,0.00261325,0.027074,0.829055,0.0547193,51,41,116.594
-534.54,0.900718,0.020323,8,255,0,535.881,-1.87104,1.36918,1.38255,-1.91713,-20.3112,18.922,0.762076,0.00644801,0.421148,0.930201,0.00828697,51,41,759.571
-534.54,0.114447,0.0261679,2,5,0,537.242,-1.87104,1.36918,1.38255,-1.91713,-20.3112,18.922,0.762076,0.00644801,0.421148,0.930201,0.00828697,51,41,759.571
-536.575,0.948545,0.00669394,10,1023,0,538.619,-1.94276,1.72862,1.78157,-1.80116,-20.2715,20.7044,-0.870775,0.00286201,0.466077,1.03993,0.0198841,51,41,310.537
-535.814,0.998399,0.005876,10,1023,0,540.428,-1.9707,1.57323,-0.471629,-1.43777,-17.8433,26.4869,-1.58229,0.00146482,0.446654,0.420302,0.0562225,51,41,114.87
-532.568,0.999999,0.00444705,10,1023,0,537.743,-1.94476,-0.586795,1.55413,-1.76537,-14.7974,26.1424,-1.01782,0.00276192,0.176651,0.977386,0.0234627,51,41,270.098
