# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_1.data.R
# init = 2 (Default)
# random
#   seed = 141761547 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-994013,0.999071,0.233783,8,351,0,994015,1.99937,1.98655,-1.83955,1.99978,-500.695,452.215,3.81965,0.999843,0.996636,0.0401136,0.999945,51,41,1600.4
-994012,0.973813,0.670705,5,55,0,994014,1.99724,1.90659,-1.91869,1.99985,-502.531,459.209,3.81982,0.999309,0.976648,0.0203285,0.999962,51,41,1600.45
-994015,0.907487,0.413584,3,15,0,994016,1.99984,1.98131,-1.87606,1.99997,-500.768,460.094,3.81993,0.99996,0.995327,0.030984,0.999993,51,41,1600.48
-994013,0.283539,0.91286,3,7,0,994018,1.9997,1.92174,-1.89252,1.99977,-500.824,460.896,3.81988,0.999924,0.980435,0.026869,0.999942,51,41,1600.47
-994013,0.994714,0.325613,10,1023,0,994015,1.9957,1.92075,-1.78943,1.99986,-703.581,864.004,3.81986,0.998925,0.980188,0.052643,0.999966,51,41,1600.46
-994019,0.8764,0.275132,3,7,0,994027,1.99607,1.39845,-1.95054,1.99994,-701.852,863.65,3.81909,0.999018,0.849613,0.0123641,0.999986,51,41,1600.25
-994016,0.999172,0.266792,3,7,0,994021,1.99662,1.60994,-1.94977,1.99997,-702.074,863.578,3.81949,0.999156,0.902484,0.0125578,0.999993,51,41,1600.36
-994015,0.980304,0.425792,10,1023,0,994022,1.99975,1.99581,-1.8752,1.99977,-702.956,918.219,3.81994,0.999938,0.998951,0.0311999,0.999942,51,41,1600.48
-994014,0.690137,0.827758,5,55,0,994019,1.9987,1.71005,-1.9778,1.99984,-696.748,935.262,3.81984,0.999675,0.927511,0.0055504,0.99996,51,41,1600.45
-994015,0.798757,0.704597,5,47,0,994017,1.99876,1.99509,-1.91554,1.99955,-706.375,928.29,3.81997,0.99969,0.998772,0.0211162,0.999887,51,41,1600.49
-994015,0.977946,0.41784,4,15,0,994019,1.99959,1.74847,-1.98379,1.99991,-703.892,933.735,3.81891,0.999897,0.937118,0.00405334,0.999977,51,41,1600.2
-994016,0.869693,0.657043,3,7,0,994018,1.9992,1.98794,-1.63222,1.99977,-703.708,932.845,3.81998,0.9998,0.996985,0.0919447,0.999942,51,41,1600.49
-994017,0.920645,0.603493,10,1023,0,994020,1.9974,1.98052,-1.9959,1.99989,-634.021,1069.93,3.81998,0.999349,0.995131,0.00102575,0.999972,51,41,1600.5
-994014,0.991042,0.866404,3,15,0,994018,1.99929,1.9572,-1.94141,1.99946,-634.775,1071.08,3.81995,0.999823,0.9893,0.0146465,0.999866,51,41,1600.49
-994013,0.531585,1.12917,4,23,0,994015,1.99823,1.85954,-1.83037,1.99996,-640.657,1063.83,3.81968,0.999558,0.964884,0.0424079,0.999991,51,41,1600.41
