# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_1.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-531.6,0.964327,0.0141706,9,511,0,542.024,-1.81808,-1.9268,1.23859,-1.88553,-14.6514,1.61395,0.0545766,0.00909606,0.00914969,0.890612,0.0114472,51,41,565.009
-531.906,0.122388,0.0257283,2,7,0,533.372,-1.81625,-1.92869,1.22253,-1.88549,-14.6549,1.60634,0.0414182,0.00918745,0.00891333,0.886195,0.0114509,51,41,561.39
-532.561,0.999897,0.00390814,10,1023,0,533.28,-1.92003,-1.70395,1.64505,-1.79777,-15.1179,1.05389,-0.868426,0.00399859,0.0370066,1.00239,0.0202233,51,41,311.183
-534.113,0.982645,0.00332732,4,15,0,534.529,-1.91937,-1.7047,1.64541,-1.80043,-15.1143,1.05345,-0.87075,0.00403165,0.0369126,1.00249,0.0199565,51,41,310.544
-533.511,0.930534,0.01204,10,1023,0,539.914,-1.68124,-1.99183,-1.092,-1.90384,-17.1894,11.759,0.540635,0.015938,0.00102181,0.2497,0.00961602,51,41,698.675
-532.457,0.956293,0.0122727,10,1023,0,534.293,-1.96554,-1.53301,-0.446563,-1.44344,-21.0141,18.2227,-1.58374,0.00172286,0.0583737,0.427195,0.0556559,51,41,114.472
-534.085,0.762478,0.0144449,9,511,0,536.762,-1.70887,-1.96425,1.70294,-1.88268,-18.2753,17.9132,0.119054,0.0145565,0.00446813,1.01831,0.0117322,51,41,582.74
-533.959,0.952782,0.0147787,10,1023,0,537.043,-1.76268,-1.95173,1.804,-1.91325,-8.85534,17.9933,0.797646,0.0118658,0.00603408,1.0461,0.00867505,51,41,769.353
-532.304,0.787115,0.0136246,9,767,0,536.318,-1.89137,-1.90341,0.538711,-1.82907,-11.7404,20.4848,-0.619754,0.00543167,0.0120735,0.698145,0.017093,51,41,379.568
-532.27,0.764461,0.0174897,8,319,0,534.913,-1.74491,-1.96419,0.830623,-1.88874,-12.7995,18.8559,0.188529,0.0127545,0.00447599,0.778421,0.0111265,51,41,601.846
-535.694,0.943751,0.0062638,10,1023,0,536.855,-1.9278,-1.52852,1.34789,-1.75692,-13.1295,16.0156,-1.07115,0.00360979,0.0589347,0.92067,0.0243081,51,41,255.434
-533.329,0.996229,0.0106102,10,1023,0,539.131,-1.94801,-0.392687,1.66858,-1.75858,-10.5623,22.2733,-1.06203,0.00259949,0.200914,1.00886,0.024142,51,41,257.942
-532.852,0.600004,0.0270915,2,5,0,534.661,-1.94817,-0.419997,1.67956,-1.74539,-10.5117,22.294,-1.09741,0.0025914,0.1975,1.01188,0.0254607,51,41,248.213
-531.885,0.924986,0.0173377,10,1023,0,535.965,-1.9179,-1.85378,-0.0201154,-1.79833,-13.057,8.30069,-0.858991,0.00410518,0.0182771,0.544468,0.0201671,51,41,313.777
-531.969,0.986385,0.0127503,10,1023,0,536.071,-1.91216,-1.44712,1.23057,-1.85912,-10.5869,-1.36539,-0.379532,0.00439222,0.06911,0.888407,0.0140883,51,41,445.629
-532.885,0.97851,0.010003,10,1023,0,539.035,-1.91109,-1.92768,0.273901,-1.43245,3.90728,-4.48979,-1.58135,0.00444569,0.00903952,0.625323,0.0567546,51,41,115.129
-532.885,5.54419e-07,0.0366977,1,2,1,535.01,-1.91109,-1.92768,0.273901,-1.43245,3.90728,-4.48979,-1.58135,0.00444569,0.00903952,0.625323,0.0567546,51,41,115.129
-533.307,0.99101,0.00434999,10,1023,0,536.647,-1.77204,-1.98038,0.643892,-0.55105,-2.44867,-1.77366,-1.82605,0.011398,0.00245305,0.72707,0.144895,51,41,47.8366
-534.116,0.99973,0.00977647,9,1023,0,534.418,-1.72749,-1.98181,0.592625,0.107637,-2.80615,-0.620704,-1.87944,0.0136256,0.00227431,0.712972,0.210764,51,41,33.1531
-535.591,0.99828,0.00498109,10,1023,0,538.605,-1.83073,-1.98731,-0.645451,-1.40046,-5.03412,-3.19967,-1.58542,0.00846326,0.00158613,0.372501,0.0599538,51,41,114.009
-534.069,0.865876,0.0171491,6,79,0,538.555,-1.6926,-1.99409,-1.00448,-1.29438,-6.16622,-3.26633,-1.63852,0.0153699,0.0007393,0.273768,0.0705624,51,41,99.4073
-534.202,0.988776,0.0146734,10,1023,0,537.247,-1.95913,-1.75506,1.65069,-1.13428,-3.69621,-6.41482,-1.71903,0.00204366,0.0306176,1.00394,0.0865718,51,41,77.2679
-534.202,0.0600926,0.0268714,2,7,0,540.024,-1.95913,-1.75506,1.65069,-1.13428,-3.69621,-6.41482,-1.71903,0.00204366,0.0306176,1.00394,0.0865718,51,41,77.2679
-533.832,0.995976,0.00271932,10,1023,0,536.425,-1.96709,-1.42969,0.437579,-1.17378,-5.06003,-8.14932,-1.70678,0.00164558,0.0712882,0.670334,0.0826222,51,41,80.6341
-531.962,0.999924,0.00383095,10,1023,0,534.79,-1.95726,-1.20516,0.0875403,-1.64226,-4.86817,-7.59636,-1.35748,0.00213719,0.0993554,0.574074,0.0357737,51,41,176.692
-533.095,0.981092,0.00636328,10,1023,0,536.469,-1.90421,-1.8264,1.76802,-1.79343,-9.75425,-12.7741,-0.884772,0.00478946,0.0217003,1.03621,0.020657,51,41,306.688
-533.694,0.995993,0.0136902,10,1023,0,534.813,-1.89196,-1.95392,-0.787071,-1.69729,1.7397,-10.0336,-1.22694,0.00540204,0.00576037,0.333555,0.0302706,51,41,212.591
-532.895,0.157656,0.0199701,6,107,0,536.897,-1.88396,-1.96747,-0.677298,-1.62583,1.90186,-9.0248,-1.36353,0.00580183,0.00406651,0.363743,0.0374165,51,41,175.029
-534.633,0.994153,0.00410415,10,1023,0,541.035,-1.63918,-1.98174,0.279271,-1.93443,6.11724,-11.372,1.82247,0.018041,0.00228249,0.626799,0.00655747,51,41,1051.18
-533.948,0.998862,0.00786077,9,767,0,538.254,-1.63325,-1.99489,-1.15811,-1.85968,7.15878,-11.7237,-0.186534,0.0183375,0.000638591,0.23152,0.0140325,51,41,498.703
-535.209,0.901717,0.00913122,10,1023,0,539.23,-1.95478,-1.51411,1.72631,-1.46092,14.1511,-10.471,-1.57566,0.00226091,0.0607358,1.02473,0.0539082,51,41,116.694
-535.209,6.2587e-143,0.0478428,1,2,1,537.189,-1.95478,-1.51411,1.72631,-1.46092,14.1511,-10.471,-1.57566,0.00226091,0.0607358,1.02473,0.0539082,51,41,116.694
-535.209,0,0.0940515,0,1,1,538.999,-1.95478,-1.51411,1.72631,-1.46092,14.1511,-10.471,-1.57566,0.00226091,0.0607358,1.02473,0.0539082,51,41,116.694
-537.42,0.994491,0.0075171,5,31,0,540.734,-1.96331,-1.62646,1.70068,-1.46997,13.9393,-10.8124,-1.53698,0.00183446,0.0466931,1.01769,0.0530031,51,41,127.331
-538.292,0.949122,0.00510873,7,191,0,542.247,-1.94722,-1.63311,1.58056,-1.38625,14.5632,-11.1615,-1.62876,0.00263917,0.0458616,0.984654,0.0613751,51,41,102.091
-538.019,0.997414,0.00439301,8,511,0,540.439,-1.93416,-1.67055,1.50382,-1.61536,15.1252,-6.13719,-1.36784,0.00329201,0.0411815,0.963551,0.0384635,51,41,173.845
-535.828,1,0.00970821,6,127,0,540.575,-1.93175,-1.77944,1.45373,-1.66175,15.1595,-6.79408,-1.28192,0.00341241,0.02757,0.949777,0.0338247,51,41,197.471
-533.005,0.98504,0.0123175,8,511,0,537.017,-1.9284,-1.70705,1.64815,-1.69889,16.339,-3.58845,-1.22801,0.00358004,0.0366189,1.00324,0.0301112,51,41,212.299
-533.281,0.748125,0.0158119,10,1023,0,535.919,-1.86948,-1.94479,1.49119,-1.68906,47.0388,-119.882,-1.22144,0.00652578,0.00690086,0.960077,0.0310938,51,41,214.104
-533.079,0.990572,0.0137081,10,1023,0,535.538,-1.81146,-1.95453,-0.769372,-1.91945,74.1113,-182.401,0.905955,0.00942712,0.0056841,0.338423,0.0080549,51,41,799.138
-534.344,0.989533,0.0108506,10,1023,0,538.648,-1.96766,-1.50719,1.75888,-0.69194,128.109,-116.558,-1.81186,0.00161687,0.0616007,1.03369,0.130806,51,41,51.7398
