# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrNoTransport_model
# start_datetime = 2024-06-03 17:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_1.data.R
# init = 2 (Default)
# random
#   seed = 3862419333 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,theta.1,theta.2,theta.3,theta.4
-2725.74,0.28125,0.00763156,2,3,0,2733.42,-1.49232,-1.01965,0.247442,-1.34247,0.000227893,5.46713e-05,51.2372,40.904
-2712.32,0.855339,0.00294957,3,7,0,2730.1,-1.50275,-1.01233,0.268004,-1.32246,0.000223557,5.50796e-05,51.34,41.1141
-2683.73,0.999863,0.00114597,5,31,0,2714.15,-1.50605,-1.01143,0.281089,-1.27956,0.000222186,5.51297e-05,51.4054,41.5646
-2679.55,0.963916,0.00386924,2,3,0,2684,-1.50247,-1.01246,0.275721,-1.27396,0.000223672,5.5072e-05,51.3786,41.6234
-2655.79,0.808672,0.00282429,4,15,0,2685.51,-1.50068,-1.05994,0.241231,-1.24265,0.000224418,5.24256e-05,51.2062,41.9522
-2650.19,0.788626,0.0030167,3,7,0,2658.39,-1.50379,-1.06441,0.244438,-1.23643,0.000223123,5.21762e-05,51.2222,42.0174
-2638.62,0.993293,0.00369359,3,7,0,2651.22,-1.51686,-1.07014,0.227388,-1.22043,0.000217691,5.18569e-05,51.1369,42.1855
-2630.78,1,0.00580745,2,3,0,2638.65,-1.51102,-1.08241,0.220574,-1.21151,0.000220118,5.11727e-05,51.1029,42.2791
-2627.11,0.421828,0.0113079,1,1,0,2632.98,-1.50996,-1.08418,0.218951,-1.20546,0.000220561,5.10742e-05,51.0948,42.3427
-2587.43,0.986881,0.00488293,3,7,0,2629.01,-1.52448,-1.10536,0.247592,-1.13994,0.00021452,4.98935e-05,51.238,43.0307
-2509.93,0.353483,0.00600131,3,14,1,2587.43,-1.53432,-1.15224,0.192193,-1.0114,0.000210431,4.72802e-05,50.961,44.3803
-2488.11,0.998093,0.00168879,5,31,0,2512.49,-1.54029,-1.12715,0.206059,-0.963229,0.000207949,4.86788e-05,51.0303,44.8861
-2460.8,0.996103,0.00364109,3,7,0,2491.69,-1.54655,-1.15513,0.182064,-0.911617,0.000205343,4.7119e-05,50.9103,45.428
-2307.14,0.598231,0.00514936,4,15,0,2465.86,-1.58497,-1.08269,0.0996501,-0.448932,0.000189369,5.11575e-05,50.4983,50.2862
-2286.35,0.999231,0.00248665,4,31,0,2311.99,-1.59581,-1.11062,0.0984212,-0.355193,0.000184861,4.96e-05,50.4921,51.2705
-2265.01,0.92287,0.00368606,4,15,0,2292.02,-1.60976,-1.20005,0.0902924,-0.239955,0.000179063,4.4615e-05,50.4515,52.4805
-2262.72,0.956138,0.0022101,5,31,0,2266.73,-1.6131,-1.20209,0.0961058,-0.212924,0.000177674,4.45016e-05,50.4805,52.7643
-2247.09,0.947668,0.0040688,4,15,0,2263.52,-1.61966,-1.30529,-0.000176035,-0.102839,0.000174946,3.87487e-05,49.9991,53.9202
-2247.09,0.0592982,0.00607994,1,3,0,2248.5,-1.61966,-1.30529,-0.000176035,-0.102839,0.000174946,3.87487e-05,49.9991,53.9202
-2245.53,0.995909,0.00159796,5,31,0,2247.84,-1.62118,-1.29085,0.0227956,-0.0937957,0.000174313,3.95534e-05,50.114,54.0151
-2246.31,0.826457,0.00199481,4,23,0,2249.74,-1.61684,-1.29151,0.0204499,-0.0814347,0.000176119,3.95166e-05,50.1022,54.1449
-2245.28,0.927706,0.00218025,7,127,0,2248.87,-1.62999,-1.25101,0.0268094,-0.0404599,0.000170652,4.17741e-05,50.134,54.5752
-2244.71,0.833465,0.0027714,6,63,0,2248.3,-1.63419,-1.31776,0.0120297,-0.0178735,0.000168906,3.80531e-05,50.0601,54.8123
-2242.01,0.979038,0.00240537,3,7,0,2245.16,-1.62246,-1.31247,0.0175357,-0.0241644,0.000173783,3.8348e-05,50.0877,54.7463
-2241.26,0.999706,0.00273681,4,15,0,2242.05,-1.6281,-1.31347,0.0141962,-0.0257336,0.000171437,3.82923e-05,50.071,54.7298
-2239.75,0.864007,0.00419549,5,31,0,2242.03,-1.62644,-1.35554,0.027931,-0.0235705,0.000172127,3.59472e-05,50.1397,54.7525
-2241.54,0.519032,0.00270392,2,3,0,2242.94,-1.62229,-1.35699,0.0310611,-0.0206887,0.000173851,3.58667e-05,50.1553,54.7828
-2241.23,0.919697,0.00280792,4,23,0,2244.11,-1.63699,-1.37185,0.0422052,0.0234585,0.000167741,3.50379e-05,50.211,55.2463
-2239.82,0.787994,0.00303943,6,63,0,2243.91,-1.64599,-1.44055,-0.0170129,0.144099,0.000163995,3.12086e-05,49.9149,56.513
-2242.39,0.984444,0.00266942,6,63,0,2243.74,-1.62216,-1.34664,0.0178953,0.00493953,0.000173906,3.64435e-05,50.0895,55.0519
-2242.73,1,0.00405588,4,15,0,2244.95,-1.62562,-1.29744,0.0530828,-0.0237387,0.000172468,3.9186e-05,50.2654,54.7507
-2241.58,0.927201,0.00276228,5,31,0,2244.6,-1.63335,-1.28484,-0.0163221,0.037041,0.000169254,3.98885e-05,49.9184,55.3889
-2240.88,0.775514,0.00354281,6,63,0,2244.34,-1.63633,-1.39604,0.0462322,0.0143584,0.000168013,3.369e-05,50.2312,55.1508
-2238.08,0.4,0.00633114,2,5,0,2242.67,-1.63536,-1.39132,0.0196402,0.0353521,0.000168417,3.39526e-05,50.0982,55.3712
-2239.71,0.999472,0.00245041,6,127,0,2240.67,-1.63141,-1.30637,-0.00554946,0.092283,0.000170058,3.86881e-05,49.9723,55.969
-2239.89,0.972502,0.00445293,4,15,0,2240.79,-1.6374,-1.32992,0.0369112,0.121343,0.000167568,3.73757e-05,50.1846,56.2741
-2239.52,0.107297,0.00587615,2,7,1,2244.5,-1.63545,-1.33949,0.0358599,0.10713,0.000168379,3.68421e-05,50.1793,56.1249
-2237.43,0.98986,0.0013584,6,63,0,2240.57,-1.63251,-1.37277,-0.00451664,0.0701531,0.0001696,3.49867e-05,49.9774,55.7366
-2237.24,0.996865,0.00136156,6,63,0,2238.67,-1.63478,-1.39689,-0.0174233,0.0910117,0.00016866,3.36421e-05,49.9129,55.9556
-2232.63,0.987333,0.00225434,7,127,0,2239.74,-1.63304,-1.58879,0.0269201,0.0292945,0.000169381,2.29448e-05,50.1346,55.3076
-2233.06,0.992241,0.00303493,5,31,0,2233.27,-1.63088,-1.58456,0.0104248,0.00382151,0.000170279,2.31809e-05,50.0521,55.0401
-2232.9,0.402141,0.00504834,5,31,0,2235.29,-1.62683,-1.65071,0.0247675,0.00330321,0.000171963,1.94931e-05,50.1238,55.0347
-2231.58,0.978139,0.00160017,2,3,0,2233.42,-1.62974,-1.651,0.023923,0.00228852,0.000170753,1.94768e-05,50.1196,55.024
-2229.45,0.960409,0.00129199,6,79,0,2234.03,-1.636,-1.7542,-0.000679163,0.092714,0.00016815,1.37245e-05,49.9966,55.9735
-2227.65,0.870538,0.00307852,5,42,1,2230.73,-1.63929,-1.8291,0.0170585,0.0929397,0.000166782,9.54926e-06,50.0853,55.9759
-2227.73,0.846877,0.00314775,4,17,0,2229.05,-1.63514,-1.84385,-0.00152165,0.0806397,0.000168507,8.72688e-06,49.9924,55.8467
-2226.52,0.680409,0.272944,2,5,1,2227.89,-1.63884,-1.87853,-0.00601864,0.0772743,0.000166971,6.79344e-06,49.9699,55.8114
-2226.52,0,2.11357,0,1,1,2227.16,-1.63884,-1.87853,-0.00601864,0.0772743,0.000166971,6.79344e-06,49.9699,55.8114
-2226.68,0.666667,0.312222,1,3,1,2226.98,-1.63748,-1.86091,-0.00158944,0.0768249,0.000167535,7.77601e-06,49.9921,55.8067
