# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_3.data.R
# init = 2 (Default)
# random
#   seed = 141761547 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-541.182,0.0108696,0.0232922,7,191,0,546.127,-1.99187,-1.81382,1.99517,-1.66707,-100.474,3.46417,-1.70864,0.00203371,0.0465446,0.998793,0.0832336,51,41,80.1241
-537.065,0.999993,0.0033192,10,1023,0,542.485,-1.99133,-1.79556,1.81886,-1.74468,-101.489,1.28694,-1.62714,0.00216638,0.051109,0.954714,0.0638293,51,41,102.536
-537.885,0.941405,0.00545015,10,1023,0,541.912,-1.97045,-1.53724,-0.338937,-1.97266,-100.644,-4.60312,1.29385,0.00738816,0.115689,0.415266,0.0068346,51,41,905.809
-536.665,0.993863,0.00299625,10,1023,0,542.169,-1.9728,-1.97056,-0.620142,-1.95361,-101.837,-3.80033,0.0435414,0.00680073,0.00736063,0.344964,0.0115984,51,41,561.974
-537.701,0.998327,0.00612886,10,1023,0,539.9,-1.99228,-1.46777,1.74962,-1.81591,-104.228,-4.13293,-1.50619,0.00193109,0.133058,0.937405,0.0460236,51,41,135.799
-537.62,0.709252,0.015216,7,255,0,542.825,-1.9922,-1.74825,1.2233,-1.68859,-104.019,-4.85336,-1.69524,0.00195062,0.0629376,0.805825,0.0778522,51,41,83.8092
-539.26,0.842481,0.00921963,10,1023,0,541.466,-1.98931,-1.94083,-0.826105,-0.159713,-102.387,3.86186,-1.94649,0.00267323,0.0147935,0.293474,0.460072,51,41,14.7153
-537.482,0.984041,0.0121223,10,1023,0,542.937,-1.994,-1.92441,-0.158732,0.17102,-95.27,1.38512,-1.94769,0.00150077,0.0188979,0.460317,0.542755,51,41,14.3843
-535.791,0.987525,0.0138931,10,1023,0,539.226,-1.9841,-1.95836,0.529326,-1.79092,-102.734,-6.98696,-1.54584,0.0039743,0.0104093,0.632332,0.0522689,51,41,124.895
-535.824,0.733632,0.00835227,3,15,0,537.948,-1.98434,-1.9574,0.492722,-1.78838,-102.494,-7.01956,-1.55013,0.00391431,0.0106506,0.623181,0.0529051,51,41,123.715
-535.824,0.000115873,0.031724,1,2,1,537.593,-1.98434,-1.9574,0.492722,-1.78838,-102.494,-7.01956,-1.55013,0.00391431,0.0106506,0.623181,0.0529051,51,41,123.715
-535.042,0.998275,0.0109436,10,1023,0,540.212,-1.96378,-1.97189,0.433437,-1.96152,-54.0481,40.6236,0.433658,0.00905587,0.00702684,0.608359,0.00962058,51,41,669.256
-537.567,0.972065,0.0048167,8,255,0,539.228,-1.9504,-1.97087,1.50777,-1.97375,-54.3424,40.5297,1.61285,0.0123993,0.00728299,0.876943,0.00656193,51,41,993.533
-536.4,0.710281,0.0107879,8,255,0,541.238,-1.93642,-1.99216,1.71998,-1.90789,-69.6429,46.003,-0.885879,0.0158954,0.00195878,0.929996,0.0230281,51,41,306.383
-536.782,0.995061,0.00401004,10,1023,0,539.542,-1.92334,-1.99169,1.64471,-1.96337,-54.1681,55.2588,0.816696,0.0191641,0.00207738,0.911178,0.00915773,51,41,774.592
-535.789,0.990258,0.00701341,10,1023,0,540.036,-1.99047,-1.90621,-0.665499,-1.84415,-42.2757,75.4107,-1.39832,0.00238198,0.0234486,0.333625,0.0389636,51,41,165.462
-535.789,0.149731,0.0191758,1,3,0,536.803,-1.99047,-1.90621,-0.665499,-1.84415,-42.2757,75.4107,-1.39832,0.00238198,0.0234486,0.333625,0.0389636,51,41,165.462
-534.914,0.998945,0.00189956,10,1023,0,537.801,-1.97503,-1.97289,-0.269473,-1.93184,-41.1078,69.8438,-0.621187,0.00624277,0.00677647,0.432632,0.0170404,51,41,379.174
-535.816,0.999887,0.00286146,10,1023,0,538.11,-1.97792,-1.9822,-0.865857,-1.90429,-14.2989,64.2225,-1.01486,0.00551922,0.00444944,0.283536,0.0239272,51,41,270.913
-536.925,0.969628,0.00480491,10,1023,0,539.867,-1.99082,-0.204278,1.82387,-1.89258,-32.4356,55.7888,-1.14656,0.00229387,0.448931,0.955966,0.0268562,51,41,234.695
-535.983,0.988195,0.00584906,7,223,0,541.102,-1.98429,-0.383621,1.38002,-1.94338,-31.5137,57.1844,-0.390642,0.0039263,0.404095,0.845005,0.0141551,51,41,442.573
-536.896,0.90385,0.00691203,10,1023,0,539.513,-1.99304,-1.90158,-0.181858,-0.506767,-53.5878,41.1914,-1.93242,0.00174005,0.0246061,0.454535,0.373308,51,41,18.5847
