x1,x2,x3,x4,x5
0.0129392,0.00566824,51.2166,41.4184,0.000390926
0.0121681,0.00567268,51.1508,42.3111,0.000394622
0.0146456,0.00510809,50.9921,41.748,0.000364941
0.0126791,0.00565768,51.1841,41.6642,0.00039265
0.0129879,0.00628493,50.9793,42.0898,0.000400608
0.0121578,0.00626291,50.891,41.6489,0.000416093
0.0113145,0.00666572,50.8216,41.8205,0.000435613
0.0106036,0.00744065,51.2446,40.9337,0.000475224
0.0114591,0.00803604,51.2862,41.2638,0.000461018
0.0097113,0.00712125,51.0918,40.9939,0.000487778
0.0105152,0.00690879,51.1713,40.7218,0.000464721
0.0111179,0.00658834,51.3319,40.5913,0.000446034
0.0114408,0.00609902,51.3461,39.6877,0.000436937
0.0122921,0.00621199,51.4546,39.5983,0.000429506
0.01152,0.00681837,51.1987,41.8975,0.000427969
0.0108462,0.00681416,51.2588,39.8536,0.000458075
0.012325,0.00672252,51.3885,41.3319,0.000421134
0.0119823,0.00608495,50.9354,41.7665,0.000411015
0.012969,0.00569041,50.9422,42.3697,0.00038987
0.0126028,0.00601786,51.1303,42.107,0.000400814
0.0138162,0.00433626,51.0067,41.6812,0.000362351
0.00931906,0.00709649,51.2882,39.843,0.000504616
0.0108859,0.0077637,51.3584,40.7146,0.000475109
0.0110105,0.00760454,51.4477,40.2865,0.00047613
0.0107176,0.00752518,51.4283,40.3138,0.000472028
0.0115105,0.00668507,51.4443,40.2496,0.000445024
0.0109078,0.00668126,51.4334,40.5439,0.000458174
0.010088,0.00681555,51.4543,39.1909,0.000481189
0.0126566,0.00549839,51.1826,41.4517,0.000396761
0.0131779,0.00664944,51.0332,41.3761,0.00040993
0.0125074,0.00613318,51.0078,41.7369,0.000410543
0.0110818,0.00769385,51.3477,39.6842,0.000477047
0.0112675,0.00668701,51.3425,40.5866,0.00044386
0.0114405,0.00604141,51.4179,39.8521,0.000430754
0.0105877,0.00709578,51.2744,40.4963,0.0004728
0.0111777,0.00741395,51.1489,41.2101,0.000462015
0.0103664,0.00643186,51.1816,41.0513,0.000450689
0.0127426,0.00688283,51.1665,41.4494,0.000418915
0.012408,0.0059777,51.1551,41.1853,0.000405412
0.0117357,0.00520699,51.2249,40.5377,0.000409343
0.0113035,0.00510408,51.2282,40.9136,0.000411136
0.0122198,0.0071932,51.2651,41.5269,0.000426533
0.0112528,0.00700121,51.1063,41.0673,0.000451606
0.0110223,0.00627794,51.1618,40.61,0.000437384
0.0119324,0.00580465,51.125,41.5921,0.000404095
0.0108557,0.0062562,51.497,40.3788,0.00043937
0.0108435,0.00668467,51.3468,40.2072,0.00045328
0.0101372,0.00772696,51.3403,40.041,0.000499015
0.00916084,0.00670006,51.5577,38.8398,0.000507271
0.00905156,0.00655526,51.3809,38.5928,0.000513779
0.0104305,0.00764353,51.4555,40.6154,0.000485668
0.0108736,0.00626174,51.0959,40.9491,0.000442101
0.0133098,0.00608702,51.3025,41.3518,0.000394381
0.0144936,0.00574476,51.0689,42.6084,0.000369456
0.0130321,0.00518712,50.9264,42.7908,0.000372891
0.0134658,0.00501162,51.0431,41.1545,0.000377327
0.0129168,0.00547205,51.3174,41.6608,0.000385187
0.0131486,0.00458882,51.3708,40.5595,0.000376221
0.0120364,0.00610805,51.0805,41.4916,0.000411805
0.0120488,0.00689116,51.1378,42.0857,0.000419953
0.012784,0.00639336,50.9657,41.358,0.00041455
0.0127813,0.00631265,50.9603,41.6953,0.000411928
0.0130138,0.00615627,51.0812,41.2891,0.000402231
0.0131022,0.00607885,51.0999,41.3806,0.000402774
0.0115975,0.00602317,51.2337,41.8784,0.000419836
0.012025,0.00732807,51.0401,41.5293,0.000438573
0.0122083,0.00749454,50.9964,41.3931,0.000439942
0.0116813,0.00733176,51.2342,42.1139,0.00044123
0.0122833,0.00585105,51.1324,40.7329,0.00040921
0.0125914,0.00487284,51.3821,40.6785,0.000388165
0.0103333,0.00704967,51.3426,40.1711,0.000474119
0.0106503,0.00728177,51.3349,40.1993,0.000463437
0.012037,0.00585631,51.2227,41.282,0.000414243
0.0129689,0.00549711,51.1036,41.9882,0.000383299
0.0129777,0.0055048,51.1008,41.9452,0.0003827
0.0112048,0.00673826,51.231,40.5736,0.000444106
0.00992393,0.00718198,51.3565,40.1851,0.00048846
0.0102257,0.00736283,51.4564,39.5315,0.000490901
0.0107585,0.00636941,51.6007,39.5331,0.000463804
0.0101437,0.0060981,51.6508,39.867,0.00045306
0.0114673,0.00660842,51.3104,38.6973,0.000451439
0.0114533,0.00638627,51.2901,38.6465,0.000457984
0.0111664,0.00643692,51.2955,38.6611,0.000457853
0.0115047,0.00679314,51.2638,42.2933,0.000430977
0.0125803,0.00694437,51.2211,41.6823,0.00041348
0.0137459,0.00422852,51.0685,41.6389,0.000356415
0.0138217,0.00488166,51.14,40.99,0.000374732
0.0131975,0.00585425,51.2611,41.1705,0.000395479
0.0117368,0.00432557,51.13,40.859,0.000390102
0.0119747,0.0073084,51.4687,40.5872,0.00044527
0.010933,0.00632034,51.3864,40.1636,0.000446768
0.0108089,0.00698454,51.4945,41.0129,0.00045472
0.0115616,0.00637901,51.0958,40.0117,0.000448392
0.0111743,0.00649018,51.1352,39.7883,0.000456045
0.0117871,0.00701116,51.151,39.8653,0.000449309
0.0108004,0.00646752,51.3273,41.7378,0.000438719
0.0118781,0.00761052,51.0887,40.6377,0.000452711
0.0116457,0.00765874,51.0517,40.8285,0.000462206
0.0102762,0.00669263,51.4258,40.7265,0.000457222
0.0121842,0.00729798,51.4335,40.0871,0.000437957
0.012336,0.00707676,51.4775,40.4534,0.000427264
0.0125239,0.00695371,51.4542,40.3142,0.000429492
0.0118023,0.00659595,51.0372,40.9186,0.000433079
0.0117032,0.00644599,51.1616,41.2086,0.000426967
0.0118587,0.00635636,51.3293,40.6529,0.000426377
0.0109353,0.00707029,51.2753,39.4695,0.00047251
