x1,x2,x3,x4
0.000170345,1.75479e-6,50.1549,55.0468
0.00016986,3.34684e-6,50.1876,54.822
0.000169427,1.7938e-6,50.1834,54.9414
0.000169822,2.61443e-6,50.1768,54.925
0.000168542,7.14354e-7,50.136,55.0959
0.000168406,1.01762e-7,50.139,55.1253
0.00016839,1.08856e-7,50.1342,55.0924
0.000168405,5.1507e-7,50.1261,55.1235
0.000169012,4.73707e-7,50.102,55.1473
0.000168762,4.58297e-7,50.1138,55.2239
0.000167875,7.57005e-7,50.0634,55.2519
0.000168558,9.16727e-7,50.0879,55.2665
0.000168646,4.58279e-7,50.0856,55.2487
0.000168755,3.57448e-7,50.0897,55.2813
0.000168835,8.91517e-7,50.0532,55.3436
0.000168814,1.09823e-6,50.0503,55.356
0.00016892,8.78296e-7,50.0491,55.3147
0.000168937,7.83961e-7,50.0485,55.3074
0.000168358,3.32656e-7,50.0709,55.1967
0.000168315,5.05428e-8,50.0705,55.2032
0.000168315,5.05428e-8,50.0705,55.2032
0.000167849,2.17883e-7,50.0634,55.1595
0.000167058,5.38097e-7,50.0883,55.144
0.000167864,5.89162e-7,50.1108,55.3629
0.000168638,1.98088e-6,50.0097,55.1094
0.000168829,1.38732e-6,50.0045,55.2534
0.000168822,2.59925e-6,50.0345,55.1956
0.000168646,1.65518e-6,50.0253,55.154
0.00016895,6.65984e-7,50.0739,55.3691
0.000168936,1.3795e-6,50.0622,55.3725
0.000168165,2.28233e-6,50.0599,55.3005
0.000168754,1.216e-6,50.0945,55.305
0.000168646,1.14293e-6,50.0997,55.3086
0.000168398,1.33824e-7,50.0256,55.2509
0.000167727,4.75167e-7,49.9916,55.3091
0.000168458,5.90102e-7,49.9651,55.4427
0.000168272,7.6599e-7,49.9764,55.3872
0.00016848,1.28155e-6,50.0235,55.4233
0.000167919,2.0255e-6,50.0501,55.3882
0.000167842,2.44874e-6,50.0394,55.4695
0.00016656,2.5774e-6,49.9893,55.9265
0.000166368,1.82875e-6,50.0235,55.9212
0.000165623,3.1653e-6,50.055,56.303
0.000165823,4.61568e-6,50.0475,56.3512
0.000165581,4.59845e-6,50.1176,56.4616
0.000165903,4.02558e-6,50.107,56.3387
0.000167327,5.37236e-6,50.1412,55.4243
0.000168005,5.23426e-6,50.1361,55.5762
0.000168717,2.7326e-6,50.0658,55.3946
0.000168732,3.43598e-6,50.0541,55.2536
0.000168577,4.22677e-6,50.0868,55.3707
0.000168287,4.14648e-6,50.0241,55.3531
0.00016899,2.92643e-6,50.0959,55.3179
0.000169951,9.42024e-7,50.0843,55.0256
0.00017087,1.14926e-6,50.1116,55.1549
0.000170137,1.2953e-6,50.1178,55.2444
0.000169967,2.00094e-6,50.1087,55.313
0.000168442,6.47264e-7,50.0425,55.1927
0.000168252,7.90167e-7,50.0445,55.1905
0.000168415,2.99496e-7,50.0581,55.0061
0.00017116,2.30143e-6,49.9539,55.0443
0.000169369,3.35596e-6,49.9615,54.8225
